COD_REG;NOME_Regione;C1;C2;C3;C4;C5;C6;C7_RM_1956;C7_RM_1989;C7_RM_1998;C7_RM_2008;C7_RM_2013;C7_RM_2015;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50;C51;C52;C53;C54;C55;C56;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C67;C68;C69;C70;C71;C72;C73;C74;C75;C76;C77;C78;C79;C80;C81;C82;C83;C84;C85;C86;C87;C88;C89;C90;C91;C92;C93;C94;C95;C96;C97;C98;C99;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;C116;C117;C118;C119;C120;C121;C122;C123;C124;C125
1;Piemonte;206412,81;2333584,58;0;8,1264969331;91,8735030669;0;3,0385595519;5,3614022422;5,8212017193;6,1090086022;7,0300432685;7,0668895056;170495,02;3094,59;0;118665,46;11711,44;0;8,9827569148;8,0801674292;0;0;626,16;0;0;7;206405,81;;;1,1055657338;8,1282475181;120512,65;58908,83;26994,07;842358,970000001;465370,78;1025782,74;12,5159624084;11,2361474443;2,5640828848;153997,05;52418,5;985037,860000001;1348474,63;13,5199587517;3,7417914955;35822,66;279076,45;11,3759165594;15025,64;183902,12;7,5533148315;7437,77;128464,74;5,4728716931;0,12;2357,18;3336,07;3121,94;0;14,75;10157,01;71145,4200000001;73952,58;0;0,8069939475;18,8360573077;4,4790591595;4,0505474442;;24,33;0;8078,07;0;0,3002813981;;1087184,08;1452824,43;42,8023794298;1441567,19;1098443,24;56,7543807291;1934510,98;605504,980000001;76,161371049;23324,51;8,2018132607;;;2539997,39;21,9567742008;449,6568527401;13,5241057038;4357663;1,7156171172;88,3237931063;;0,9151559222;29,6981479429;3,344267642;29,5003769904;2238088,56;245258,84;55321,52;300580,36;88,1599227992;9,6609226224;2,1791545784;11,8400772008;;;;;;;;;;;;;;;;;;;;;
2;Valle D'Aosta;9310,81;316870,79;0;2,8544865805;97,1455134195;0;1,710092248;2,3924411834;2,4497044727;2,7375651217;2,982339619;3,0692422482;43202,85;163,12;0;13706,55;1437,65;0;9,4930732558;2,5312582988;0;0;0;0;0;0;9310,81;;;;2,8544865805;27,79;2305,26;6977,91;44,8;6402,44;310428,4;38,2835101254;26,4738105355;2,1984156522;2572,24;6738,72;14009,22;302866,42;15,5127473697;2,176553012;3145,84;26738,49;10,5267208601;1452,91;22456,67;6,0766855796;716,72;15009,92;4,557362539;0;3610,62;2207,8;936,99;0;0;38827,94;119895,54;144247,89;0;;8,5078758563;1,8081405472;0,6453771219;;0;0;0;0;;;61861,5;264326,59;18,9649781511;82524,2;243664,11;25,2995577922;119729,58;206459,19;36,7056106806;1510,22;2,8677643222;;;326181,6;26,1399017022;691,6466192353;7,8418218817;126663;0,3883204939;94,3657603106;;0,348331221;23,882533558;0,9018345503;21,5256171623;314310,04;10705,76;1070,88;11776,64;96,3884940041;3,2831025174;0,3284034785;3,6115059959;;;;;;;;;;;;;;;;;;;;;
3;Lombardia;304151,700000001;2083646,48;0;12,7377473753;87,2622526247;0;4,8582964604;7,9103870406;8,9353256966;10,0257259065;10,8990299961;10,9944411339;131900,63;3096,77;0;180566,3;15581,36;0;7,9436889535;13,1668045323;0;0;0;0;0;0;304151,700000001;;;;12,7377473753;252234,41;33152,22;18768,7;1134889,21;189381,37;759382,32;18,183989254;14,8976251181;2,4119611126;260729,79;43425,54;1156022,14;927630,76;18,403348143;4,4719899351;49602,0699999999;403522,71;10,9466690389;12168,08;190548,23;6,0025165217;9796,47;173175,43;5,354084425;0,04;9047,29;1832,53;1312,5;0;1,15;43650,7499999999;64478,16;77443,05;0;3,3613445378;17,1681717195;2,7635513972;1,6665492146;;14831,98;0;89515,57;0;14,2140184413;;1149656,65;1238157,1;48,1468309662;1450836,8;936979,360000001;60,7599874858;1856425,77;531394,37;77,7456282784;79056,2000000002;13,1739147395;;;2387798,18;22,002202082;291,1569319959;25,9531643236;9650188;4,0414588137;78,2715270935;;1,0620734161;34,4743021884;2,8995212288;29,8009760626;1725850,56;471169,24;189287;660456,24;72,3230793291;19,7447050815;7,9322155894;27,6769206709;;;;;;;;;;;;;;;;;;;;;
4;Trentino-Alto Adige;59617,73;1300836,74;0;4,3821922243;95,6178077757;0;1,4856926248;2,0992822129;2,2596068901;2,4468597305;2,4987432088;2,5285260237;266596,79;2456,86;0;31970,92;4271,85;0;11,786764643;4,1795341334;0;0;0;0;0;0;59617,73;;;;4,3821922243;10446,35;9139,52;40032,73;34819,25;63186,21;1202839,77;23,0779002156;12,6366094058;3,2209844534;19690,69;39927,91;91542,1;1209303,13;17,7022351053;3,1961989993;1821,27;9814,65;15,6521358002;1094,33;7012,41;13,4990144004;666,68;4929,38;11,9133819151;12316,02;3338,24;2177,82;117,99;0,15;256997,3;136545,63;133714,87;3888,69;9,19;4,5731195174;2,3864366921;1,6026027596;2,9448321303;1,6059957173;1018,9;0;25507,15;0;3,8411297574;;438432,23;922032,94;32,2266412745;577515,91;782949,9;42,4498657559;775404,050000001;585063,48;56,9954102469;7887,27;4,4077462473;;;1360454,47;9,6621100795;580,331641225;14,5508390469;1020866;0,7503860089;93,400552692;;0,5063123106;24,7441844057;1,4510446462;20,5342084916;1278831,24;73473,28;8167,56;81640,84;93,999080084;5,4005724248;0,6003474911;6,000919916;;;;;;;;;;;;;;;;;;;;;
5;Veneto;222645,12;1617153,89;0;12,1016001634;87,8983998366;0;3,8986830992;6,0658229589;7,6231584009;9,5392180293;9,8880373842;10,0001333507;83487,3200000001;3216,2;0;167207,39;17142,59;0,1;9,2989378138;12,4137039975;31731,29;34346,39;149278,19;3712,64;3871,6;22286,32;192774,56;10,4746849461;10,1303077425;12,9900525464;12,0894189714;199750,16;9724,49;12768,81;1043606,81;109834,79;450592,92;16,0653911;8,1336137187;2,7556893833;196853,07;25390,39;1004040,4;599994,120000001;16,3922175378;4,0599646448;56948,4;407956,73;12,2494668966;19269,6;156410,8;10,968554261;13046,38;117489,56;9,9944735526;193,48;295,31;284,5;214,9;589,51;2365,61;2726,92;5505,17;4547,05;25030,99;7,5605000215;9,7712616181;4,9139242824;4,5128571279;2,3009308952;81079,87;682,48;573128,06;17670,7;12,3935932724;3,7185926363;914034,96;925761,65;49,6813047177;1148067,09;691741,57;62,4014396149;1443577,71;396243,860000001;78,4629190971;76975,36;12,6300279668;;;1839799,01;6,3695863503;498,0673205062;18,1578132035;4844770;2,6333148206;86,0083547408;;1,3774811517;27,8345633593;3,7938761137;28,6159868975;1416475,28;351055,56;73152,28;424207,84;76,9537822458;19,0720258248;3,9741919294;23,0462177542;;;;;;;;;;;;;;;;;;;;;
6;Friuli Venezia Giulia;68426,2;713258,26;3159,23;8,7536855984;91,2463144016;0,4025298337;2,9945216984;5,3479022263;6,10351156;6,6458332942;6,8536559456;6,8833576986;50037,19;220,16;0,97;55682,56;4015,03;296,79;6,7256148866;8,8861462805;11344,37;12675,94;60135,09;1740,05;2067,62;9259,63;55358,9;13,2986406734;14,023885683;13,3434215168;8,0879463595;58970,78;4511,08;4945,68;353076,66;69325,72;290864,88;14,3116481927;6,1095280402;1,6719078589;57692,02;10735,52;340784,06;372483,2;14,4781639089;2,8014080314;7426,39;60100,54;10,9976715956;6199,16;52769,03;10,5127188065;2016;21180,24;8,6910637241;65,9;157,99;229,37;486,51;5,37;670,8;853,89;3362,29;14699,88;33,72;8,9452965929;15,6135114836;6,3861835474;3,2035921638;13,7375287797;43280,33;5327,42;457648,14;107839,7;8,6400219976;4,7075687709;331557,62;451015,74;42,3676088335;425643,15;357345,6;54,3613366092;549435,75;234180,76;70,1153871809;26030,53;9,0552298193;;;784843,69;9,2721153069;538,1892536161;19,5786476866;1207455;1,5384655765;86,5483307609;;0,8883570384;28,4654547759;2,5983812863;30,7134571481;672603,44;96775,6;16832;113607,6;85,5499866804;12,3091123218;2,1409009978;14,4500133196;;;;;;;;;;;;;;;;;;;;;
7;Liguria;44077,21;497836,62;0;8,1336196937;91,8663803063;0;2,7592324946;5,1173949609;6,2310463183;6,6677535493;6,9652789918;7,027156596;28030,29;1516,08;0;4445,3;1381,72;0;23,7122920464;7,964286605;5859,73;14718,47;208143,95;5346,58;6403,83;20568,73;11758,07;47,7104417065;30,3178631115;8,9932617641;4,1862654142;29083,77;9695,01;5294,63;129188,01;173359,9;195245,71;18,3758405952;5,2962305136;2,6401820202;16930,05;27143,36;53081,84;444711,78;24,1816782835;5,7524773387;5854,39;12137,18;32,5396282815;4138,78;10318,71;28,627237508;2322,4;8089,12;22,3060609786;9689,69;9886,87;3581,8;629,48;15,19;83418,15;129465,9;66141,51;10987,06;131,95;10,4069539149;7,0948499983;5,13716288;5,4188252268;10,3235014272;4035,3;0;81788,91;0;4,7018201507;;246824,56;295139,5;45,5426066444;317035,98;224933,52;58,4970150534;420157,13;121817,69;77,5233672295;713,13;8,1443372117;;;541913,83;17,5290656971;380,3786474166;15,2867855762;1567339;2,8922291944;86,2508103685;;1,0005428039;34,7290913078;2,3898384401;26,4796714387;466466,8;55334,2;19817,32;75151,52;86,1246347797;10,2164564891;3,6589087312;13,8753652203;;;;;;;;;;;;;;;;;;;;;
8;Emilia-Romagna;214313,01;2030927,09;0;9,5452156765;90,4547843235;0;2,3947362698;6,6722066932;7,627639069;7,7919186821;7,9310023454;8,0244158979;88122,59;2592,7;0;79489,35;7039,33;0;8,135256426;9,601731759;3607,51;6924,27;105074,11;1830,28;3135,59;14449,89;194897,25;33,6585267177;31,1693204478;12,0895301362;9,2358802948;174036,3;20761,1;19512,42;1243259,57;360016,52;427635,87;12,2794614508;5,4522899744;4,3637469798;169667,56;44642,26;1129470,96;901441;13,0600053334;4,7186396681;88502,05;709318,39;11,0929785153;125530,42;899700,13;12,2441162137;22565,45;227874,34;9,010329389;435,12;640,57;10270,16;3575,2;4514,58;8393,73;12142,73;218490,89;100787,57;71057,45;4,9283881819;5,0109909022;4,4894705633;3,4257427242;5,9738768431;145500,32;0;1409967,25;0;9,3541210891;;1130827,21;1114430,59;50,3651389163;1494529,25;750740,59;66,5634581365;1965007,59;280271,12;87,517312717;22310,35;9,6410158711;;;2245240,1;6,7151519067;498,3287634253;16,7532606759;4289321;1,9104063748;86,0398051301;;1,3531909874;30,2452168846;3,6121745372;28,9777199959;1916536,56;255909,92;72775,44;328685,36;85,3606738349;11,3979788688;3,2413472963;14,6393261651;;;;;;;;;;;;;;;;;;;;;
9;Toscana;161223,46;2137414,55;0;7,013869052;92,986130948;0;2,281708914;4,5966213426;5,500090318;6,2034655482;6,3918648871;6,403710227;140126,74;4118,5;0;130735,9;10211,06;0;7,244611732;6,9987962364;13921,63;26773,98;225029,71;3778,2;5213;22846,79;129385,47;21,3459677296;16,297255946;9,2170052425;6,4657991029;116160,39;32223,74;12838,25;1109242,02;623113,28;405041,67;9,4793668637;4,9171249321;3,0722342438;102043,28;59179,1;717211,04;1420185,93;12,4556291629;4,0003041034;70851,1800000001;390658,51;15,352046021;32703,66;222515,96;12,813928647;9473,54;110611,07;7,889054226;35343,37;17373,07;9353,96;1646,33;1063,34;467130,16;229097,73;245470,32;49689,24;29246,36;7,0338769885;7,0487335619;3,6707491139;3,2069966302;3,5082498342;38065,03;0;651694,37;0;5,5185953247;;997938,85;1300734,04;43,4136955433;1339515,09;959173,34;58,2730165828;1848380,58;450329,22;80,4094792653;12371,74;7,0518234081;;;2298638,01;15,3318818137;560,7737242939;13,410649319;3597492;1,5650537337;86,5736050271;;1,1411154249;29,8459014923;2,4114150134;25,7799874137;2040848,76;204645,24;53161,28;257806,52;88,7844635843;8,9028242634;2,3127121523;11,2155364157;;;;;;;;;;;;;;;;;;;;;
10;Umbria;44578,28;800777,96;0;5,2733129408;94,7266870592;0;1,6938356839;3,4244844225;4,0314948721;5,2015468437;5,2906324788;5,3018275542;61262,59;1784,26;0;57656,94;2645,01;0;4,3862760657;5,3414484239;0;0;0;0;0;0;44578,28;;;;5,2733129408;23959,97;16287,18;4329,73;235333,12;346137,8;219303,39;9,2404969218;4,4939452021;1,9360862112;27001,21;17575,67;243651,7;557122,61;9,9763235503;3,0582430141;4150,93;43737,61;8,6678984158;2301,79;31459,74;6,8177893597;1248,39;21940,72;5,3835183843;528,21;109,32;125,39;57,37;6239,53;9756,21;4427,71;1623,63;669,71;95833,91;5,1360212827;2,409505778;7,1691575854;7,8904659735;6,1127850693;39139,74;1217,91;642018,269999999;56716,12;5,746058833;2,1022359397;317722,84;527646,99;37,5838868061;438102,56;407274,01;51,8233619841;628136,41;217253,46;74,301388305;15449,53;5,3714808499;;;845356,24;7,9229270107;461,4839723496;14,517041554;883215;1,0447843858;90,7925556023;;0,7551733938;27,6659738007;2,2250652181;24,2639220949;778904,56;58142,16;9364,88;67507,04;92,0243248084;6,8692536823;1,1064215093;7,9756751916;;;;;;;;;;;;;;;;;;;;;
11;Marche;64893,84;873298,59;0;6,9169008324;93,0830991676;0;2,7344320717;4,8316295571;5,808247343;6,3202006671;6,7893123153;6,9645017706;66227,13;1704,96;0;26813,82;1908,72;0;6,6453732852;6,9254761144;3117,3;8490,92;126326,39;2604,28;3562,98;16532,18;42194,4;45,5167978076;29,5587320286;11,5724103916;5,4265250154;46995,34;13784,83;4116,04;413934,52;264388,71;194987,3;10,1957681804;4,9554785117;2,0672882735;37425,66;27470,55;218225,97;655084,560000001;14,6393199214;4,0246640304;1286,48;2197,27;36,9280229638;2838,24;17958,09;13,6477926634;439,11;775,65;36,1478810629;824,25;1524,64;1267,82;169,44;56,54;37270,71;42141,63;58901,02;6478,91;2253,78;2,1636720448;3,4915737021;2,1071039428;2,5486022848;2,4472800305;64818,65;77,56;869310,26;4000,27;6,9389405794;1,9019919908;410960,8;527278,86;43,8012607568;564363,45;373881,97;60,1509411045;779695,61;158557,38;83,1007860684;1654,04;6,9291169153;;;938192,43;5,7308802197;429,2260482415;15,5835838081;1517739;1,61772676;88,1410294786;;0,9052381817;28,3067662426;2,8141136721;26,1019263649;833128,8;88634,88;18352,12;106987;88,6198061983;9,4280810938;1,9521127078;11,3801938017;;;;;;;;;;;;;;;;;;;;;
12;Lazio;139481,41;1580040,99;704,16;8,1116366963;91,8883633037;0,040934143;1,8643484154;5,4266227859;6,8767921701;7,1145871514;7,3833975553;7,428758643;155974,89;6492,49;0;52379,1;3285,53;0;5,9023656494;8,1820854812;7469,09;16094,48;212386;3321,15;4271,09;24981,66;106907,51;30,7792041697;20,9721112643;10,5244581339;7,3678558812;108085,11;24328,11;7068,37;818476,42;378755,86;382818,02;11,6651842863;6,0354942917;1,8129306848;101634,18;37847,41;725240,089999999;854810,21;12,2913704885;4,2398573823;6763,46;52818,58;11,3515079376;4517,99;47646,39;8,661063354;2598,04;36024,65;6,7267194491;978,86;298,28;293,19;2661,5;5896,5;12972,76;6414,32;6723,23;70606,67;149971,57;7,0161027895;4,4435837083;4,1786267071;3,6325460292;3,7830070007;46146,71;2499,26;552644,55;104547,84;7,7066438812;2,3347292921;760311,98;959542,03;44,2079371609;980752,05;739238,34;57,0207866103;1294614,23;425583,54;75,2596156429;25247,34;8,2325127303;;;1720226,56;27,1639525252;441,8083230275;11,9149281949;5500022;3,1972660624;86,1848793152;;1,2946989541;31,6910896577;2,6099511198;24,108542571;1429889,16;225621,88;67672,8;293294,68;82,9794898727;13,0933145241;3,9271956032;17,0205101273;;;;;;;;;;;;;;;;;;;;;
