COD_REG;NOME_Regione;C1;C2;C3;C4;C5;C6;C7_RM_1956;C7_RM_1989;C7_RM_1998;C7_RM_2008;C7_RM_2013;C7_RM_2015;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50;C51;C52;C53;C54;C55;C56;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C67;C68;C69;C70;C71;C72;C73;C74;C75;C76;C77;C78;C79;C80;C81;C82;C83;C84;C85;C86;C87;C88;C89;C90;C91;C92;C93;C94;C95;C96;C97;C98;C99;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;C116;C117;C118;C119;C120;C121;C122;C123;C124;C125
11;Marche;65509,6;872682,810000001;0,02;6,9825335722;93,0174664278;2,13175883331312E-06;2,7344320717;4,8316295571;5,808247343;6,3202006671;6,7893123153;6,9645017706;66225,39;1706,7;0;26788,94;1933,6;0;6,7319951508;6,9904458299;3112,56;8483,29;126116,15;2609,02;3570,61;16742,42;42587,55;45,5996420569;29,6220310439;11,7195769214;5,4770872761;47495,07;13888,13;4128,77;413434,77;264285,41;194974,57;10,3041864246;4,9926136037;2,0736819382;37819,93;27692,04;217831,7;654863,050000001;14,793541508;4,0571142763;1301,84;2181,91;37,3689271618;2862,48;17933,85;13,7643516909;448,37;766,39;36,9101715565;841,48;1540,27;1282,01;169,52;56,54;37253,48;42126;58886,81;6478,83;2253,78;2,208901125;3,5273679204;2,1306882867;2,5498055909;2,4472800305;65434,09;77,88;868694,799999999;3999,95;7,0048245698;1,9098393018;411958,1;526281,56;43,90755556;565238,23;373007,2;60,244176196;780080,79;158172,2;83,1418389618;1654,04;6,9948655708;;;938192,430000001;;;;1550796;1,6529615358;88,178318335;;;;;;;;;;;;;;;;;;;-525852,990789397;-4776497,92504816;-184296,735766318;-13724995,24;-109496,468271556;-91122,4554253204;-121666,931183525;-629484,343000353;-3597254,83645587;1227,826722621;2455,653445242;1802,2479727866;3604,4959455731;-4006535;-19268753,1585575;-26514682,9873346
12;Lazio;140570,83;1578957,49;698,24;8,1749645159;91,8250354841;0,0405900023;1,8643484154;5,4266227859;6,8767921701;7,1145871514;7,3833975553;7,428758643;155933;6534,38;0;52368,51;3296,12;0;5,9213902976;8,2468971281;7462,94;16069,3;212186,04;3327,3;4296,27;25187,44;107759,82;30,8362001216;21,0957513097;10,6108904836;7,4265949027;109005,4;24486,96;7078,65;817562,05;378597,01;382807,74;11,7644322602;6,0749029538;1,8155673503;102527,54;38043,47;724352,650000001;854614,149999999;12,399322325;4,2618210104;6799,38;52782,66;11,4117945609;4546,86;47617,52;8,7164076329;2616,96;36005,73;6,7757061976;984,42;299,57;294,46;2669,54;5940,09;12967,2;6413,03;6721,96;70598,63;149927,98;7,0559547923;4,462801299;4,1967271058;3,6435194164;3,8109729594;46553,48;2505,14;552237,78;104541,99;7,7745757345;2,3402215454;761496,3;958362,259999999;44,2766816825;981821,17;738171,28;57,0828767301;1295235,67;424964,92;75,295618286;25247,34;8,2967838074;;;1720226,56;;;;5892425;3,4253772945;86,0668449541;;;;;;;;;;;;;;;;;;;-1227841,54356777;-11152893,9253983;-421082,948704269;-30356567,56;-1954885,20585216;-167025,88267123;-223013,377907484;-1234707,90652977;-7055868,88341721;1848,9018143844;3697,8036287687;3758,0241154159;7516,0482308318;-8330790;-43687294,1213954;-59483888,0494198
13;Abruzzo;52124,89;1027596,03;0,04;4,8276261981;95,1723738019;3,70466087830693E-06;1,6214608533;3,514094754;4,152112898;4,9033906909;5,1756462405;5,2876860467;2383,3;54,96;0;13163,86;781,06;0;5,6010360762;4,8175064998;2771,05;6304,52;103438,35;1576,99;2909,46;12531,74;35106,7;36,2689855659;31,5765825409;10,8060104118;3,6947077918;27745,7;9060,51;15303,94;252022,43;157798,97;617714,24;9,9173912339;5,4300241137;2,4176146094;30797,53;21312,62;241200,08;786335,56;11,3227208136;2,638849505;1699,97;15984,77;9,6126377883;2192,07;13416,85;14,0437006532;853,93;8762,16;8,880220547;984,43;24,79;1995,79;1285,3;516,55;45553,92;482,1;96566,2099999999;60941,4500000001;40691,92;2,115309202;4,8906074296;2,0249081796;2,0655104115;1,2535044373;28124,18;10930,25;511627,37;371593,8;5,2105788302;2,8574020379;339320,93;740413,33;31,4263372545;460356,74;619381,02;42,6359767209;653872,75;425866,11;60,5584159488;2395,5;4,8383607248;;;1079720,96;;;;1331574;1,2332575261;89,8396109266;;;;;;;;;;;;;;;;;;;-480530,362913226;-4364817,4743828;-169277,854521787;-6252715,16;-145548,566450214;-69376,4591684304;-92631,6224642971;-386993,356336393;-2211514,45343669;5928,508411885;11857,0168237701;9155,1077547665;18310,215509533;-2776085;-10265443,1432234;-15982422,8989225
14;Molise;16751,21;427260,06;0,02;3,7726992831;96,2273007169;4,50438996720106E-06;2,0099286456;2,9126972372;3,2955740803;3,6586573146;3,8841082164;3,8960185485;;;;6121,2;214,55;0;3,3863394231;3,7782920197;1003,88;2164,81;30622,37;241,94;406,15;1580,73;14522,39;19,4201409513;15,7976008962;4,9086268092;3,5594844293;4463,4;5382,86;6904,95;100274,36;132540,23;194445,43;4,2615003414;3,9027982914;3,4293205704;7907,21;8844;115957,72;311302,3;6,3837358968;2,7624870255;847,47;15218,18;5,2750433378;722,52;13146,71;5,2095177598;223,87;8278,11;2,6331513365;517,5;150,14;876,28;412,19;770,28;24440,54;6726,96;47463,9;22238,71;31553,74;2,073480129;2,1831876809;1,81273632;1,8197510916;2,3829956794;9882,56;4473,83;273264,23;113390,02;3,4902602993;3,7957609564;150282,83;293730,46;33,846471127;210558,19;233456,28;47,4214702958;310224,76;133790,69;69,8680102235;1640,05;3,7866862134;;;444011,29;;;;313348;0,7057207937;94,6904119234;;;;;;;;;;;;;;;;;;;-124098,623596222;-1127229,13798481;-52093,3878599499;-2258401,12;-85838,976953144;-17825,1712480825;-23800,2133504098;-139685,704234934;-798248,726485923;389,7785677913;779,5571355826;1159,3933939926;2318,7867879852;-806650;-3483043,81193055;-5149163,21871067
15;Campania;142871,64;1196558,48;20414,55;10,666599016;89,333400984;1,5012413146;4,4858034866;7,1185112044;7,7148426067;8,6275390069;8,9858131832;9,0476598331;;;;17056,21;1367,61;130,24;7,4230534167;10,5498412458;8750,03;17649,6;194753,95;4711,6;7988,79;43496,51;86674,74;35,0002191414;31,1594838833;18,2566321173;8,1608512898;104052,47;27512,58;11306,45;463928,97;358672,76;373956,01;18,3196954464;7,1241906801;2,9347396058;98203,1;44668,4;396299,26;800258,48;19,8589749905;5,2866586515;8608,58;65190,03;11,6649622534;7682,8;61188,14;11,1553581235;4134,16;45539,96;8,3225631375;17080,87;8337,04;5243,57;4949,96;12154,34;117578,97;110251,75;125007,28;122867,82;275748,95;12,6844573705;7,0302091791;4,0257472408;3,8726693579;4,2216745769;62976,36;12646,04;554347,21;181370,15;10,201515552;6,5180333662;682087,5;664526,33;50,6520492219;873055,54;476528,44;64,6907160235;1116197,98;237650,08;82,4463256239;3108,28;10,6914094886;;;1359844,67;;;;5861529;4,3104401034;79,212421754;;;;;;;;;;;;;;;;;;;-1006239,20696444;-9140006,24302757;-365046,143961507;-18966585,16;-916396,189355647;-129179,115624521;-172480,279209151;-1672116,72687097;-9555487,8365767;3722,753246781;7445,506493562;7536,7698649626;15073,5397299251;-5967910;-29012213,0196653;-45061392,8059071
16;Puglia;157750,14;1777547,96;20,56;8,1512062664;91,8487937336;0,0010623573;3,4210968344;6,2366432014;7,3204463868;8,4401249847;8,5624624332;8,7245212481;;;;26774,19;1022,92;0;3,6799509014;8,2162751975;18277,39;39907;520681,45;7569,58;11002,6;58242,68;80935,28;29,2861406966;21,6120338797;10,0605030922;6,3249593199;132424,46;22996,93;2328,76;1257208,57;431552,87;88783,24;9,5294554131;5,0592762333;2,5559311616;147075,24;10674,91;1488030,05;289514,63;8,9948482767;3,5560566168;7076,75;88824,16;7,3792313337;5517,79;75657,2400000001;6,7973981654;3983,46;56792,41;6,5543446766;36,26;3574,42;1382,45;509,85;95,39;2137,81;108122,69;45483,99;10643,36;954,9;1,667839582;3,2001007009;2,9497653331;4,5713296889;9,0822534729;30846,3;0;702382,33;0;4,2069142881;;1016614,92;918769,29;52,5278089357;1332396,99;603003,82;68,8434655559;1696237,23;239187,11;87,6416192017;14728,41;8,2137160042;;;1935318,66;;;;4090105;2,1134013145;83,4691043266;;;;;;;;;;;;;;;;;;;-1628825,20737624;-14795162,2155885;-573967,736711983;-19669544,48;-1218632,49463915;-204246,97925486;-272711,079211795;-268613,809190576;-1535022,01443808;6388,1991260764;12776,3982521528;13302,0257324015;26604,051464803;-9363055;-32907195,4823143;-47388714,5708725
17;Basilicata;33219,19;957882,58;8044,84;3,3517435853;96,6482564147;0,805171125;2,2480034768;2,9556333081;3,4912020227;4,2838573133;4,4573735344;4,5359738281;;;;11462,92;299,27;0;2,5443391069;3,3340530125;1901,99;3899,67;49338,28;116,87;206,11;2791,44;30104,77;5,7889105733;5,0199962005;5,3547956904;3,2271912509;8256,84;11077,38;13884,97;256289,03;296983,95;404609,81;3,1211373665;3,5958359331;3,3178358879;15281,53;17937,66;277309,65;680573,14;5,2228266074;2,5679860641;593,08;26963;2,1522654891;525,87;25365,86;2,0310346199;369,36;19970,13;1,8159747368;604,41;840,93;768,82;480,32;2287,5;19498,64;39223,87;31207,34;17379,25;59508,68;3,0065587063;2,0989247419;2,4043537435;2,6894264532;3,7016851203;18016,5;4347,79;495187,67;111429,09;3,5105911162;3,7553179875;302387,66;691581,05;30,4222514208;429684,84;565515,37;43,1757183813;647827,170000001;349183,03;64,9769851903;4182,81;3,365949115;;;999146,61;;;;576619;0,5771115012;88,14112485;;;;;;;;;;;;;;;;;;;-320341,749752932;-2909770,86331162;-157254,728324262;-4536145,8;-102802,383774437;-78160,9440020738;-104360,68830455;-680081,803659333;-3886399,37530233;1227,186609269;2454,3732185379;2286,8584200738;4573,7168401476;-2922595;-8793868,3644837;-14612300,7489585
18;Calabria;74298,44;1433885,23;0;4,9263522393;95,0736477607;0;2,3677890827;3,9337741714;4,2750346866;5,1814610529;5,4238285912;5,5358683974;;;;15658,64;754,03;0;4,594194607;4,9300066833;16234,08;39115,55;550333,89;6427,57;9271,37;28399,03;30200,47;28,363203915;19,1609013345;4,9071046451;3,5182191639;46781,27;16174,51;11342,67;578521,46;315029,08;540334,94;7,4813794592;4,8835551571;2,0560323266;41074,14;33224,31;382613,84;1051271,64;9,6944312652;3,0635716067;4371,99;55219,35;7,3366197169;3685,24;53444,57;6,450642843;3339;52449,54;5,9851001657;132,33;1771,99;931,28;748,99;340,02;1238,28;25571,78;19545,37;13231,08;6404,25;9,6548252238;6,4804158315;4,5480095621;5,3575554343;5,0416131027;36221,58;33919,69;789911,27;566993,9;4,3844739983;5,6446867843;497403,5;1010835,47;32,97909084;686908,44;821348,86;45,5431868289;992905,79;515365,27;65,8307260765;3770,08;4,938697742;;;1508183,67;;;;1976631;1,3106036349;89,52314381;;;;;;;;;;;;;;;;;;;-729283,205421683;-6624322,34636013;-293849,283779925;-9574608,68;-854312,513584176;-96325,3529070307;-128613,853004903;-1718210,07136744;-9818893,12737083;1312,6273310185;2625,254662037;3802,3560149985;7604,712029997;-4455685;-17717159,1237143;-31740054,8374079
19;Sicilia;176533,31;2379697,29;15493,8;6,9060009688;93,0939990312;0,6024673561;2,0843550513;5,4868919168;6,0088754618;6,5844105925;6,8526936179;7,0481358412;7938,8;158,82;207,63;135522,17;5490,06;737,04;3,8933218771;7,0388889124;31899,97;62726,13;662720,45;12537,96;20270,5;75967,45;67757,4;28,214545547;24,4232808007;10,2841064542;4,0090570773;114289,14;42065,78;20178,85;957705,27;828810,98;593181,2;10,6613559673;4,8302793153;3,2898865846;116162,47;60371,3;885688,080000001;1494009,37;11,5947902609;3,8839456232;3458,65;42525,64;7,5213730602;2929,55;35394,84;7,6440877467;1185,4;24466,62;4,6210785739;733,83;1146,39;618,17;760,83;426,28;21660,33;77449,92;14279,69;22347;6787,93;3,2768811154;1,4585799257;4,1493878987;3,2925203275;5,9088936973;87493,34;7670,37;1016563,09;128283,45;7,9247163118;5,641893696;1142627,21;1418497,87;44,6142681169;1554255,19;1009222,65;60,6307246253;2122058,61;445324,49;82,6545368317;10277,54;6,933879213;;;2571724,4;;;;5092080;1,9800255424;81,7893094848;;;;;;;;;;;;;;;;;;;-1347990,58543389;-12244247,5444324;-544095,506993959;-15638035,52;-506066,558671938;-207531,506406523;-277096,589066202;-2977566,99419102;-17015621,4206571;1448,1254881913;2896,2509763826;2623,3049133614;5246,6098267229;-10455770;-31672985,2412958;-56672790,2790185
20;Sardegna;86363,09;2319063,96;6154,52;3,5903433446;96,4096566554;0,2552067936;1,6639752667;2,6286826362;3,0834091931;4,1300091126;4,1850670613;4,1969064667;93049,11;1640,26;0;74662,76;2928,36;176,21;3,7740916744;3,5750373175;46343,79;75324,87;651702,1;5251,07;7051,63;32108,12;41952,27;10,1775060539;8,56024473;4,6954723783;2,6424205399;63327,09;16206,18;6829,88;1205109,71;698078,38;415807,79;4,9925301757;2,2688688665;1,6160130733;59629,45;26733,7;974819,849999999;1344176,03;5,7643666055;1,9500700458;9952,19;137252,7;6,7607740477;3892,93;65921,43;5,5761164322;2421,81;52053,84;4,4456743518;10148,77;3699,43;1690,55;766,71;0;143689,77;139752,02;78799,9400000001;25213,35;0;6,5970269869;2,5788725036;2,1003102354;2,9511479188;;0;0;0;0;;;722079,83;1685320,55;29,9941728015;1031313,37;1377136,49;42,8206286179;1569820,23;840371,4;65,1325898929;20258,29;3,6208377138;;;2411581,57;;;;1663286;0,6897075433;85,3059810306;;;;;;;;;;;;;;;;;;;-598552,963998713;-5436856,00241124;-218970,718286235;-3914962,76;-125887,88964846;-101070,354429431;-134949,390742114;-336722,510818189;-1924236,39134678;3417,4802784925;6834,9605569851;5757,5712230777;11515,1424461554;-4087590;-9374582,14567946;-15825103,0494317
